Project, Version, Iteration, Budget, Suite, Test count, APFDf, TTFF, pTTFF
JxPath,19,3,10%,Ekstazi,2,0.0,NA,NA
JxPath,19,3,10%,FAST,2,0.0,NA,NA
JxPath,19,3,10%,Ekstazi+dpt,2,0.0,NA,NA
JxPath,19,3,10%,DPT,2,0.0,NA,NA
JxPath,19,3,10%,STARTS,2,0.0,NA,NA
JxPath,19,3,10%,STARTS+FAST-S,2,0.0,NA,NA
JxPath,19,3,10%,STARTS+FAST-P,2,0.0,NA,NA
JxPath,19,3,10%,STARTS+DPT,2,0.0,NA,NA
JxPath,19,3,10%,Fastazi-S,2,0.0,NA,NA
JxPath,19,3,10%,Fastazi-P,2,0.0,NA,NA
JxPath,19,3,10%,Random,2,0.0,NA,NA
JxPath,19,3,20%,Ekstazi,5,0.0,NA,NA
JxPath,19,3,20%,FAST,5,0.0,NA,NA
JxPath,19,3,20%,Ekstazi+dpt,5,0.0,NA,NA
JxPath,19,3,20%,DPT,5,0.0,NA,NA
JxPath,19,3,20%,STARTS,5,0.0,NA,NA
JxPath,19,3,20%,STARTS+FAST-S,5,0.0,NA,NA
JxPath,19,3,20%,STARTS+FAST-P,5,0.0,NA,NA
JxPath,19,3,20%,STARTS+DPT,5,0.0,NA,NA
JxPath,19,3,20%,Fastazi-S,5,0.0,NA,NA
JxPath,19,3,20%,Fastazi-P,5,0.0,NA,NA
JxPath,19,3,20%,Random,5,0.0,NA,NA
JxPath,19,3,25%,Ekstazi,6,0.0,NA,NA
JxPath,19,3,25%,FAST,6,0.0,NA,NA
JxPath,19,3,25%,Ekstazi+dpt,6,0.0,NA,NA
JxPath,19,3,25%,DPT,6,0.0,NA,NA
JxPath,19,3,25%,STARTS,6,0.0,NA,NA
JxPath,19,3,25%,STARTS+FAST-S,6,0.0,NA,NA
JxPath,19,3,25%,STARTS+FAST-P,6,0.0,NA,NA
JxPath,19,3,25%,STARTS+DPT,6,0.0,NA,NA
JxPath,19,3,25%,Fastazi-S,6,0.0,NA,NA
JxPath,19,3,25%,Fastazi-P,6,0.0,NA,NA
JxPath,19,3,25%,Random,6,0.0,NA,NA
JxPath,19,3,30%,Ekstazi,8,0.0,NA,NA
JxPath,19,3,30%,FAST,8,0.0,NA,NA
JxPath,19,3,30%,Ekstazi+dpt,8,0.0,NA,NA
JxPath,19,3,30%,DPT,8,0.0,NA,NA
JxPath,19,3,30%,STARTS,8,0.0,NA,NA
JxPath,19,3,30%,STARTS+FAST-S,8,0.0,NA,NA
JxPath,19,3,30%,STARTS+FAST-P,8,0.0,NA,NA
JxPath,19,3,30%,STARTS+DPT,8,0.0,NA,NA
JxPath,19,3,30%,Fastazi-S,8,0.0,NA,NA
JxPath,19,3,30%,Fastazi-P,8,0.0,NA,NA
JxPath,19,3,30%,Random,8,0.0,NA,NA
JxPath,19,3,40%,Ekstazi,10,0.0,NA,NA
JxPath,19,3,40%,FAST,10,0.0,NA,NA
JxPath,19,3,40%,Ekstazi+dpt,10,0.0,NA,NA
JxPath,19,3,40%,DPT,10,0.0,NA,NA
JxPath,19,3,40%,STARTS,10,0.0,NA,NA
JxPath,19,3,40%,STARTS+FAST-S,10,0.0,NA,NA
JxPath,19,3,40%,STARTS+FAST-P,10,0.0,NA,NA
JxPath,19,3,40%,STARTS+DPT,10,0.0,NA,NA
JxPath,19,3,40%,Fastazi-S,10,0.8111111111111111,9,0.2
JxPath,19,3,40%,Fastazi-P,10,0.7888888888888889,10,0.2222222222222222
JxPath,19,3,40%,Random,10,0.0,NA,NA
JxPath,19,3,50%,Ekstazi,13,0.0,NA,NA
JxPath,19,3,50%,FAST,13,0.7444444444444445,12,0.26666666666666666
JxPath,19,3,50%,Ekstazi+dpt,13,0.0,NA,NA
JxPath,19,3,50%,DPT,13,0.0,NA,NA
JxPath,19,3,50%,STARTS,13,0.0,NA,NA
JxPath,19,3,50%,STARTS+FAST-S,13,0.0,NA,NA
JxPath,19,3,50%,STARTS+FAST-P,13,0.0,NA,NA
JxPath,19,3,50%,STARTS+DPT,13,0.0,NA,NA
JxPath,19,3,50%,Fastazi-S,13,0.8111111111111111,9,0.2
JxPath,19,3,50%,Fastazi-P,13,0.7888888888888889,10,0.2222222222222222
JxPath,19,3,50%,Random,13,0.0,NA,NA
JxPath,19,3,60%,Ekstazi,16,0.0,NA,NA
JxPath,19,3,60%,FAST,16,0.7444444444444445,12,0.26666666666666666
JxPath,19,3,60%,Ekstazi+dpt,16,0.0,NA,NA
JxPath,19,3,60%,DPT,16,0.0,NA,NA
JxPath,19,3,60%,STARTS,16,0.7,14,0.3111111111111111
JxPath,19,3,60%,STARTS+FAST-S,16,0.0,NA,NA
JxPath,19,3,60%,STARTS+FAST-P,16,0.0,NA,NA
JxPath,19,3,60%,STARTS+DPT,16,0.0,NA,NA
